Item,,Location,,,,,,,,,,,,,,,,,,
,,Crusader,,Delamar,Hurston,,ArcCorp,,,microTech,,CRU,,,HUR,,,,,MIC
Name,Type,Port Olisar - Garrity Defense,GrimHex - Skutters,Levski - Consciencous Objects,Lorville - Tammany,Evernus Harbor,Area18 - Cubby Blast,Area18 - Center Mass,Baijini Point,New Babbage - Center Mass,New Babbage - Shubin Interstellar,CRU L4,CRU L5,CRU L1,HUR L1,HUR L2,HUR L3,HUR L4,HUR L5,MIC L1
Delta 1x (Reflex),Sight,,400,,,,400,400,,,,,,,,400,400,400,,
Gamma 1 (Holographic),Sight,400,,,,,,400,,,,,,,,,,400,,
Gamma Duo (2x Holographic),Sight,,,400,,,,,,,,,400,,,400,400,,,
Gamma Duo (3x Holographic),Sight,800,,800,,,,800,,,,,800,,,,,,,
Tau Plus (4x Telescopic),Sight,1000,1000,1000,,,1000,,,,,,1000,,,1000,1000,1000,,
Theta Pro (8x Telescopic),Sight,1200,1200,1200,,,1200,,,,,,1200,,,1200,1200,1200,,
EE16 (16x Telescopic),Sight,333,,,,,,,,,,,333,,,333,333,333,,
250-E Laser Poiner,Underbarrel,333,333,333,,,333,,,,,,,,,,,,,
FieldLite,Underbarrel,333,333,333,,,333,,,,,,,,,,,,,
Emod Stabilizer 1,Barrel,400,400,,,,400,,,,,,,,,,,,,
Emod Stabilizer 2,Barrel,,,,,,,400,,,,,400,,,400,400,400,,
Emod Stabilizer 3,Barrel,400,400,,,,400,,,,,,,,,,400,,,
Sion Compensator 1,Barrel,,400,,,,,400,,,,,400,,,,,,,
Sion Compensator 2,Barrel,,,400,,,,400,,,,,,,,,400,,,
Sion Compensator 3,Barrel,,,400,,,400,,,,,,400,,,,,400,,
Tacit Suppressor 1,Barrel,,,400,,,400,,,,,,400,,,400,400,,,
Tacit Suppressor 2,Barrel,,400,,,,400,400,,,,,400,,,,,400,,
Tacit Suppressor 3,Barrel,400,,400,,,,400,,,,,400,,,,,,,
Veil Flash Hider 1,Barrel,,400,,,,400,,,,,,,,,400,,400,,
Veil Flash Hider 2,Barrel,400,,,,,400,400,,,,,400,,,,,,,
Veil Flesh Hider 3,Barrel,400,400,,,,,,,,,,400,,,,,400,,
OreBit Mining Attachment,MultiTool,,,,,,311,,,,,,,,,,,,,
OxyTorch Cutter Attachment,MultiTool,,,,,,209,,,,,,,,,,,,,
